Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2018            ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Total for all journals,John Wiley and Sons,Wiley Online Library, , , , ,35079,36759,41843,24468,21114,18008,16091,14348,13205,11721,9982,10329,9610,8322,7915,7012,6914,5953,4978,4429,3181,2811,2625,1706,1511,1397,1316,1225,1122,1036,14362
AAHE-ERIC/Higher Education Research Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0709a,AEHE                ,0737-1764    ,1536-0709    ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Abacus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6281,ABAC                ,0001-3072    ,1467-6281    ,2,2,9,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
About Campus,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0687,ABC                 ,1086-4822    ,1536-0687    ,0,1,4,0,0,1,1,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academic Emergency Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1553-2712,ACEM                ,1069-6563    ,1553-2712    ,66,40,55,44,50,50,41,25,34,28,23,49,8,11,7,17,15,19,15,9,12,8,6,10,4,2,0,0,0,0,0
Accounting & Finance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-629X,ACFI                ,0810-5391    ,1467-629X    ,5,1,2,1,3,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Accounting Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3838,APR                 ,1911-382X    ,1911-3838    ,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Anaesthesiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-6576,AAS                 ,0001-5172    ,1399-6576    ,15,3,1,12,13,8,10,10,2,1,3,6,5,1,7,5,1,3,6,3,0,1,4,0,2,2,2,2,0,1,18
Acta Archaeologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0390,AAR                 ,0065-101X    ,1600-0390    ,0,0,5,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Biochimica et Biophysica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7270,ABBS                ,1672-9145    ,1745-7270    ,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
